time,prediction,actual,result,bet,pnl,balance
2026-05-26 06:05,UP,DOWN,LOSS,50.0,-50.0,950.0
2026-05-26 07:05,UP,DOWN,LOSS,50.0,-50.0,900.0
2026-05-26 08:05,DOWN,DOWN,WIN,50.0,45.0,945.0
2026-05-26 10:05,DOWN,DOWN,WIN,50.0,45.0,990.0
2026-05-26 11:05,UP,DOWN,LOSS,50.0,-50.0,940.0
2026-05-26 14:05,UP,DOWN,LOSS,50.0,-50.0,890.0
2026-05-26 15:05,DOWN,DOWN,WIN,50.0,45.0,935.0
2026-05-26 16:05,DOWN,DOWN,WIN,50.0,45.0,980.0
2026-05-26 18:05,DOWN,DOWN,WIN,50.0,45.0,1025.0
2026-05-26 19:05,DOWN,DOWN,WIN,50.0,45.0,1070.0
2026-05-26 22:05,DOWN,DOWN,WIN,50.0,45.0,1115.0
2026-05-26 23:05,DOWN,DOWN,WIN,50.0,45.0,1160.0
2026-05-27 01:05,UP,DOWN,LOSS,50.0,-50.0,1110.0
2026-05-27 02:05,DOWN,DOWN,WIN,50.0,45.0,1155.0
2026-05-27 03:05,DOWN,DOWN,WIN,50.0,45.0,1200.0
2026-05-27 04:05,DOWN,DOWN,WIN,50.0,45.0,1245.0
2026-05-27 05:05,DOWN,DOWN,WIN,50.0,45.0,1290.0
2026-05-27 07:05,UP,DOWN,LOSS,50.0,-50.0,1240.0
2026-05-27 08:05,UP,DOWN,LOSS,50.0,-50.0,1190.0
2026-05-27 10:05,UP,DOWN,LOSS,50.0,-50.0,1140.0
2026-05-27 11:05,UP,DOWN,LOSS,50.0,-50.0,1090.0
2026-05-27 12:05,DOWN,DOWN,WIN,50.0,45.0,1135.0
2026-05-27 13:05,DOWN,DOWN,WIN,50.0,45.0,1180.0
2026-05-27 14:05,DOWN,DOWN,WIN,50.0,45.0,1225.0
2026-05-27 18:05,DOWN,DOWN,WIN,50.0,45.0,1270.0
2026-05-27 21:05,UP,DOWN,LOSS,50.0,-50.0,1220.0
2026-05-27 22:05,DOWN,DOWN,WIN,50.0,45.0,1265.0
2026-05-28 02:05,DOWN,DOWN,WIN,50.0,45.0,1310.0
2026-05-28 03:05,DOWN,DOWN,WIN,50.0,45.0,1355.0
2026-05-28 04:05,DOWN,DOWN,WIN,50.0,45.0,1400.0
2026-05-28 05:05,DOWN,DOWN,WIN,50.0,45.0,1445.0
2026-05-28 06:05,DOWN,DOWN,WIN,50.0,45.0,1490.0
2026-05-28 08:05,UP,DOWN,LOSS,50.0,-50.0,1440.0
2026-05-28 10:05,UP,DOWN,LOSS,50.0,-50.0,1390.0
2026-05-28 12:05,UP,DOWN,LOSS,50.0,-50.0,1340.0
2026-05-28 13:05,UP,DOWN,LOSS,50.0,-50.0,1290.0
2026-05-28 14:05,DOWN,DOWN,WIN,50.0,45.0,1335.0
2026-05-28 15:05,DOWN,DOWN,WIN,50.0,45.0,1380.0
2026-05-28 16:05,DOWN,DOWN,WIN,50.0,45.0,1425.0
2026-05-28 17:05,UP,DOWN,LOSS,50.0,-50.0,1375.0
2026-05-28 18:05,UP,DOWN,LOSS,50.0,-50.0,1325.0
2026-05-28 19:05,UP,DOWN,LOSS,50.0,-50.0,1275.0
2026-05-28 21:05,UP,DOWN,LOSS,50.0,-50.0,1225.0
2026-05-28 22:05,UP,DOWN,LOSS,50.0,-50.0,1175.0
2026-05-28 23:05,DOWN,DOWN,WIN,50.0,45.0,1220.0
2026-05-29 01:05,UP,DOWN,LOSS,50.0,-50.0,1170.0
2026-05-29 02:05,DOWN,DOWN,WIN,50.0,45.0,1215.0
2026-05-29 03:05,DOWN,DOWN,WIN,50.0,45.0,1260.0
2026-05-29 05:05,UP,DOWN,LOSS,50.0,-50.0,1210.0
2026-05-29 06:05,UP,DOWN,LOSS,50.0,-50.0,1160.0
2026-05-29 07:05,UP,DOWN,LOSS,50.0,-50.0,1110.0
2026-05-29 08:05,DOWN,DOWN,WIN,50.0,45.0,1155.0
2026-05-29 09:05,UP,DOWN,LOSS,50.0,-50.0,1105.0
2026-05-29 10:05,UP,DOWN,LOSS,50.0,-50.0,1055.0
2026-05-29 12:05,DOWN,DOWN,WIN,50.0,45.0,1100.0
2026-05-29 13:05,DOWN,DOWN,WIN,50.0,45.0,1145.0
2026-05-29 14:05,DOWN,DOWN,WIN,50.0,45.0,1190.0
2026-05-29 15:05,DOWN,DOWN,WIN,50.0,45.0,1235.0
2026-05-29 16:05,UP,DOWN,LOSS,50.0,-50.0,1185.0
2026-05-29 17:05,UP,DOWN,LOSS,50.0,-50.0,1135.0
2026-05-29 19:05,DOWN,DOWN,WIN,50.0,45.0,1180.0
2026-05-29 21:05,UP,DOWN,LOSS,50.0,-50.0,1130.0
2026-05-29 22:05,DOWN,DOWN,WIN,50.0,45.0,1175.0
2026-05-30 00:05,DOWN,DOWN,WIN,50.0,45.0,1220.0
2026-05-30 01:05,UP,DOWN,LOSS,50.0,-50.0,1170.0
2026-05-30 02:05,UP,DOWN,LOSS,50.0,-50.0,1120.0
2026-05-30 03:05,UP,DOWN,LOSS,50.0,-50.0,1070.0
2026-05-30 04:05,DOWN,DOWN,WIN,50.0,45.0,1115.0
2026-05-30 05:05,DOWN,DOWN,WIN,50.0,45.0,1160.0
2026-05-30 06:05,UP,DOWN,LOSS,50.0,-50.0,1110.0
2026-05-30 08:05,DOWN,DOWN,WIN,50.0,45.0,1155.0
2026-05-30 09:05,DOWN,DOWN,WIN,50.0,45.0,1200.0
2026-05-30 10:05,UP,DOWN,LOSS,50.0,-50.0,1150.0
2026-05-30 11:05,UP,DOWN,LOSS,50.0,-50.0,1100.0
2026-05-30 13:05,UP,DOWN,LOSS,50.0,-50.0,1050.0
2026-05-30 14:05,UP,DOWN,LOSS,50.0,-50.0,1000.0
2026-05-30 15:05,UP,DOWN,LOSS,50.0,-50.0,950.0
2026-05-30 17:05,UP,DOWN,LOSS,50.0,-50.0,900.0
2026-05-30 18:05,UP,DOWN,LOSS,50.0,-50.0,850.0
2026-05-30 19:05,UP,DOWN,LOSS,50.0,-50.0,800.0
2026-05-30 21:05,DOWN,DOWN,WIN,50.0,45.0,845.0
2026-05-30 23:05,DOWN,DOWN,WIN,50.0,45.0,890.0
2026-05-31 00:05,DOWN,DOWN,WIN,50.0,45.0,935.0
2026-05-31 01:05,UP,DOWN,LOSS,50.0,-50.0,885.0
2026-05-31 02:05,UP,DOWN,LOSS,50.0,-50.0,835.0
2026-05-31 03:05,UP,DOWN,LOSS,50.0,-50.0,785.0
2026-05-31 04:05,UP,DOWN,LOSS,50.0,-50.0,735.0
2026-05-31 05:05,UP,DOWN,LOSS,50.0,-50.0,685.0
2026-05-31 06:05,DOWN,DOWN,WIN,50.0,45.0,730.0
2026-05-31 07:05,DOWN,DOWN,WIN,50.0,45.0,775.0
2026-05-31 08:05,DOWN,DOWN,WIN,50.0,45.0,820.0
2026-05-31 10:05,DOWN,DOWN,WIN,50.0,45.0,865.0
2026-05-31 12:05,UP,DOWN,LOSS,50.0,-50.0,815.0
2026-05-31 14:05,DOWN,DOWN,WIN,50.0,45.0,860.0
2026-05-31 15:05,DOWN,DOWN,WIN,50.0,45.0,905.0
2026-05-31 17:05,DOWN,DOWN,WIN,50.0,45.0,950.0
2026-05-31 19:05,DOWN,DOWN,WIN,50.0,45.0,995.0
2026-05-31 20:05,DOWN,DOWN,WIN,50.0,45.0,1040.0
2026-05-31 21:05,UP,DOWN,LOSS,50.0,-50.0,990.0
2026-05-31 22:05,UP,DOWN,LOSS,50.0,-50.0,940.0
2026-05-31 23:05,UP,DOWN,LOSS,50.0,-50.0,890.0
2026-06-01 00:05,DOWN,DOWN,WIN,50.0,45.0,935.0
2026-06-01 01:05,UP,DOWN,LOSS,50.0,-50.0,885.0
2026-06-01 02:05,DOWN,DOWN,WIN,50.0,45.0,930.0
2026-06-01 05:05,DOWN,DOWN,WIN,50.0,45.0,975.0
2026-06-01 06:05,DOWN,DOWN,WIN,50.0,45.0,1020.0
2026-06-01 07:05,DOWN,DOWN,WIN,50.0,45.0,1065.0
2026-06-01 08:05,DOWN,DOWN,WIN,50.0,45.0,1110.0
2026-06-01 10:05,DOWN,DOWN,WIN,50.0,45.0,1155.0
2026-06-01 11:05,DOWN,DOWN,WIN,50.0,45.0,1200.0
2026-06-01 12:05,DOWN,DOWN,WIN,50.0,45.0,1245.0
2026-06-01 13:05,DOWN,DOWN,WIN,50.0,45.0,1290.0
2026-06-01 14:05,DOWN,DOWN,WIN,50.0,45.0,1335.0
2026-06-01 15:05,DOWN,DOWN,WIN,50.0,45.0,1380.0
2026-06-01 16:05,DOWN,DOWN,WIN,50.0,45.0,1425.0
2026-06-01 18:05,UP,DOWN,LOSS,50.0,-50.0,1375.0
2026-06-01 21:05,DOWN,DOWN,WIN,50.0,45.0,1420.0
2026-06-01 22:05,DOWN,DOWN,WIN,50.0,45.0,1465.0
